,city,state,num_jobs,latitude,longitude
0,New York,NY,417,40.7127837,-74.0059413
1,Los Angeles,CA,87,34.0522342,-118.2436849
2,Chicago,IL,147,41.8781136,-87.6297982
3,Houston,TX,32,29.7604267,-95.3698028
4,Philadelphia,PA,63,39.9525839,-75.1652215
5,Phoenix,AZ,19,33.4483771,-112.0740373
6,San Antonio,TX,12,29.4241219,-98.4936282
7,San Diego,CA,39,32.715738,-117.1610838
8,Dallas,TX,89,32.7766642,-96.7969879
9,San Jose,CA,414,37.3382082,-121.8863286
10,Austin,TX,50,30.267153,-97.7430608
11,Jacksonville,FL,13,30.3321838,-81.655651
12,Indianapolis,IN,5,39.768403,-86.158068
13,San Francisco,CA,330,37.7749295,-122.4194155
14,Columbus,OH,13,39.9611755,-82.9987942
15,Fort Worth,TX,20,32.7554883,-97.3307658
16,Charlotte,NC,58,35.2270869,
17,Detroit,MI,44,42.331427,
18,El Paso,TX,3,31.7618778,
19,Memphis,TN,2,35.1495343,-90.0489801
20,Boston,MA,186,42.3600825,-71.0588801
21,Seattle,WA,268,47.6062095,-122.3320708
22,Denver,CO,63,39.7392358,-104.990251
23,Washington,DC,367,38.9071923,-77.0368707
24,Nashville,TN,7,36.1626638,-86.7816016
25,Baltimore,MD,65,39.2903848,-76.6121893
26,Louisville,KY,6,38.2526647,-85.7584557
27,Portland,OR,14,45.5230622,-122.6764816
28,Oklahoma City,OK,3,35.4675602,-97.5164276
29,Milwaukee,WI,6,43.0389025,
30,Las Vegas,NV,7,36.1699412,
31,Albuquerque,NM,2,35.0853336,
32,Tucson,AZ,1,32.2217429,-110.926479
33,Fresno,CA,11,36.7468422,-119.7725868
34,Sacramento,CA,5,38.5815719,-121.4943996
35,Long Beach,CA,80,33.7700504,-118.1937395
36,Kansas City,MO,12,39.0997265,-94.5785667
37,Mesa,AZ,19,33.4151843,-111.8314724
38,Virginia Beach,VA,10,36.8529263,-75.977985
39,Atlanta,GA,70,33.7489954,-84.3879824
40,Colorado Springs,CO,5,38.8338816,-104.8213634
41,Raleigh,NC,44,35.7795897,-78.6381787
42,Omaha,NE,2,41.2523634,
43,Miami,FL,5,25.7616798,
44,Oakland,CA,353,37.8043637,
45,Tulsa,OK,1,36.1539816,-95.992775
46,Minneapolis,MN,44,44.977753,-93.2650108
47,Cleveland,OH,14,41.49932,-81.6943605
48,Wichita,KS,7,37.6871761,-97.330053
49,Arlington,TX,56,32.735687,-97.1080656
50,New Orleans,LA,26,29.9510658,-90.0715323
51,Bakersfield,CA,1,35.3732921,-119.0187125
52,Tampa,FL,16,27.950575,-82.4571776
53,Honolulu,GU,"['Honolulu', 'GU', 0]",,
54,Anaheim,CA,65,33.8365932,-117.9143012
55,Aurora,CO,57,39.7294319,
56,Santa Ana,CA,27,33.7454725,-117.867653
57,St. Louis,MO,37,38.6270025,-90.1994042
58,Riverside,CA,5,33.9533487,-117.3961564
59,Corpus Christi,TX,2,27.8005828,-97.396381
60,Pittsburgh,PA,12,40.4406248,-79.9958864
61,Lexington,KY,17,38.0405837,-84.5037164
62,Anchorage,AK,10,61.2180556,-149.9002778
63,Stockton,CA,6,37.9577016,-121.2907796
64,Cincinnati,OH,18,39.1031182,-84.5120196
65,Saint Paul,MN,43,44.9537029,-93.0899578
66,Toledo,OH,1,41.6639383,
67,Newark,NJ,441,40.735657,
68,Greensboro,NC,12,36.0726354,
69,Plano,TX,90,33.0198431,-96.6988856
70,Henderson,NV,7,36.0395247,-114.9817213
71,Lincoln,NE,2,40.8257625,-96.6851982
72,Buffalo,NY,1,42.8864468,-78.8783689
73,Fort Wayne,IN,3,41.079273,-85.1393513
74,Jersey City,NJ,438,40.7281575,-74.0776417
75,Chula Vista,CA,39,32.6400541,-117.0841955
76,Orlando,FL,13,28.5383355,-81.3792365
77,St. Petersburg,FL,16,27.7518284,-82.6267345
78,Norfolk,VA,10,36.8507689,-76.2858726
79,Chandler,AZ,19,33.3061605,-111.8412502
80,Laredo,TX,"['Laredo', 'TX', 0]",27.5305671,-99.4803241
81,Madison,WI,8,43.0730517,-89.4012302
82,Durham,NC,43,35.9940329,-78.898619
83,Lubbock,TX,2,33.5778631,-101.8551665
84,Winston-Salem,NC,4,36.0998596,-80.244216
85,Garland,TX,87,32.912624,-96.6388833
86,Glendale,AZ,17,33.5386523,-112.1859866
87,Hialeah,FL,5,25.8575963,-80.2781057
88,Reno,NV,4,39.5296329,-119.8138027
89,Baton Rouge,LA,9,30.4582829,
90,Irvine,CA,25,33.6845673,
91,Chesapeake,VA,10,36.7682088,-76.2874927
92,Irving,TX,93,32.8140177,-96.9488945
93,Scottsdale,AZ,19,33.4941704,-111.9260519
94,North Las Vegas,NV,7,36.1988592,-115.1175013
95,Fremont,CA,465,37.5482697,-121.9885719
96,Gilbert,AZ,19,33.3528264,-111.789027
97,San Bernardino,CA,1,34.1083449,-117.2897652
98,Boise,ID,8,43.6187102,-116.2146068
99,Birmingham,AL,2,33.5206608,-86.80249
100,Rochester,NY,30,43.16103,-77.6109219
101,Richmond,VA,6,37.5407246,-77.4360481
102,Spokane,WA,6,47.6587802,-117.4260466
103,Des Moines,IA,6,41.6005448,-93.6091064
104,Montgomery,AL,3,32.3668052,-86.2999689
105,Modesto,CA,2,37.6390972,-120.9968782
106,Fayetteville,NC,2,35.0526641,-78.8783585
107,Tacoma,WA,179,47.2528768,-122.4442906
108,Shreveport,LA,2,32.5251516,-93.7501789
109,Fontana,CA,1,34.0922335,-117.435048
110,Oxnard,CA,6,34.1975048,-119.1770516
111,Aurora,IL,11,41.7605849,-88.3200715
112,Moreno Valley,CA,1,33.9424658,-117.2296717
113,Akron,OH,4,41.0814447,-81.5190053
114,Yonkers,NY,418,40.9312099,-73.8987469
115,Columbus,GA,1,32.4609764,-84.9877094
116,Augusta,GA,1,33.4734978,-82.0105148
117,Little Rock,AR,8,34.7464809,-92.2895948
118,Amarillo,TX,1,35.2219971,-101.8312969
119,Mobile,AL,8,30.6953657,-88.0398912
120,Huntington Beach,CA,26,33.6594835,-117.9988026
121,Glendale,CA,87,34.1425078,-118.255075
122,Grand Rapids,MI,3,42.9633599,-85.6680863
123,Salt Lake City,UT,17,40.7607793,-111.8910474
124,Tallahassee,FL,8,30.4382559,-84.2807329
125,Huntsville,AL,16,34.7303688,
126,Worcester,MA,10,42.2625932,-71.8022934
127,Knoxville,TN,3,35.9606384,-83.9207392
128,Grand Prairie,TX,63,32.7459645,-96.9977846
129,Newport News,VA,8,37.0870821,-76.4730122
130,Brownsville,TX,"['Brownsville', 'TX', 0]",25.9017472,-97.4974838
131,Santa Clarita,CA,21,34.3916641,-118.542586
132,Overland Park,KS,13,38.9822282,-94.6707917
133,Providence,RI,6,41.8239891,-71.4128343
